age,gender,job_role,province,salary,is_married,is_hereditary,weight,height,shampoo,is_smoker,education,stress,bald
27,female,Government Employee,Bengkulu,7957452.7574173,1,0,54.315052528406,170.428542348794,Pantone,1,Bachelor Degree,5,1
53,female,Government Employee,Bandung,7633002.75548663,1,0,72.8734035599853,165.530096559727,Pantone,0,Bachelor Degree,7,1
37,female,Employee,Bandung,6637624.86442812,1,0,46.3215327195603,154.599388299121,Moonsilk,0,Bachelor Degree,4,0
36,female,Jobless,Palu,3624871.39136116,1,0,51.5397807920693,167.340480780611,Deadbuoy,1,Elementary School,9,1
38,male,,Palangkaraya,6031807.52048343,1,0,60.726909008237,165.514773168351,Merpati,1,Magister Degree,1,0
55,female,Government Employee,Palangkaraya,9213032.16371553,1,1,54.287045393391,179.235144583801,Pantone,0,Bachelor Degree,1,1
40,female,,Serang,10682559.2996989,1,0,54.8248811080533,177.431122136503,Shoulder & Head,0,Bachelor Degree,2,0
47,male,Employee,Banda Aceh,4508320.96398001,1,0,74.7951522345499,170.540938198014,Shoulder & Head,1,Magister Degree,3,1
41,male,,Palu,9846425.54233613,1,0,55.0495472616502,157.19207792059,Pantone,0,Senior High School,6,0
46,female,,Palembang,9257426.3210561,1,0,52.7646563347736,174.397170404923,Shoulder & Head,0,Bachelor Degree,4,0
34,male,Government Employee,Kupang,4765811.84328679,1,1,43.6572066649863,151.078646853254,Moonsilk,0,Bachelor Degree,2,1
40,male,Employee,Sofifi,18627756.0247438,1,0,81.1404406866772,167.492095809078,Shoulder & Head,0,Bachelor Degree,1,0
41,male,Employee,Ambon,19396218.4962853,1,0,47.9590745383639,152.098351314121,Deadbuoy,1,Senior High School,4,1
26,male,Employee,Tanjungselor,10363501.2144652,1,1,54.0471385095063,175.790306355154,Pantone,1,Senior High School,1,1
45,male,Government Employee,Tanjung Pinang,12117177.4776629,1,1,54.5482387008921,167.855935611449,Moonsilk,1,Bachelor Degree,3,1
21,male,Employee,Banjarmasin,6867877.61087346,1,0,45.0844559635308,151.94966730965,Merpati,1,Bachelor Degree,5,1
33,male,Employee,Denpasar,4466445.51508016,1,0,49.2393428205389,165.955075792759,Deadbuoy,1,Bachelor Degree,7,0
54,male,Employee,Mamuju,11474564.0792037,1,0,69.3819708174618,175.132922642338,Pantone,1,Bachelor Degree,6,1
35,,Employee,Kupang,12093635.3585793,1,0,54.2479917823702,153.990308058031,Merpati,0,Senior High School,4,0
38,male,Jobless,Banda Aceh,10878145.3687898,1,0,53.1037939074927,187.817838064736,Deadbuoy,0,Bachelor Degree,9,1
38,female,Employee,Kupang,6786868.15009884,1,1,65.3939803290547,169.192650240534,Shoulder & Head,1,Junior High School,4,1
49,male,Government Employee,Makassar,10209359.4716292,1,0,,175.460518428566,Merpati,0,Bachelor Degree,5,1
49,male,Employee,Pangkalpinang,7061549.06896542,1,0,62.6763459463442,176.575678321824,Deadbuoy,1,Doctoral Degree,4,1
39,male,Government Employee,Yogyakarta,9326526.88071507,1,1,59.7709401205937,179.201384160177,Pantone,1,Bachelor Degree,10,1
52,male,Government Employee,Mamuju,10361307.6141629,1,1,59.3679133811406,171.58818232338,Merpati,0,Senior High School,6,1
27,male,Government Employee,Makassar,9426808.07292251,1,0,58.7265483278003,164.284819659604,Moonsilk,1,Junior High School,1,1
29,male,Jobless,Pontianak,4157454.12442331,1,1,49.1408062106139,162.865681497634,Moonsilk,0,Magister Degree,9,1
45,male,Employee,Mataram,6326320.57180043,1,1,57.8290886677716,174.303691837133,Shoulder & Head,1,Senior High School,1,1
25,female,Government Employee,Manokwari,6384657.00951749,1,1,53.582372516858,166.769850157862,Merpati,1,Senior High School,7,1
24,male,Employee,Serang,18100469.5082584,1,0,47.003276691142,163.182024677347,Deadbuoy,0,Senior High School,5,0
35,male,Employee,Bandung,8827766.63561365,1,0,44.3955929590989,160.364833997114,Pantone,0,,10,1
50,male,Government Employee,Tanjung Pinang,17167729.6855845,1,0,48.0095193767813,168.957747274855,Pantone,0,Bachelor Degree,8,1
28,male,Government Employee,Palangkaraya,8353226.51369108,1,0,79.9145153031342,191.644086680174,Deadbuoy,0,Bachelor Degree,3,0
49,female,,Gorontalo,5307319.54543052,1,0,47.6540018832777,170.233006270453,Shoulder & Head,1,Junior High School,10,1
42,male,Employee,Semarang,13475833.8933561,1,1,52.1807005851323,161.265535237978,Shoulder & Head,0,Bachelor Degree,4,1
34,female,Employee,Surabaya,9880872.2294986,1,0,46.1141905859814,164.933772883583,Pantone,0,Bachelor Degree,6,0
